Date,Year,Population,Temperature,CPI,GDP,Peak
2011-01,-0.09999999999999432,0.1525964595300202,-1.0,0.18070707802419328,0.11336456033643261,-0.2389786464806236
2011-02,-0.09999999999999432,0.14679431505656737,-0.9362597667633636,0.18070707802419328,0.11336456033643261,-0.13519376341656297
2011-03,-0.09999999999999432,0.1409921671018246,-0.8725195407426085,0.18070707802419328,0.11336456033643261,-0.027925658117726737
2011-04,-0.09999999999999432,0.13519001914708184,-0.8087793147218534,0.18070707802419328,-0.12679695172646088,-0.00919444130606717
2011-05,-0.09999999999999432,0.12938787467362545,-0.745039081485217,0.12558444661997825,-0.12679695172646088,0.05611908258953768
2011-06,-0.09999999999999432,0.12358572671888624,-0.6812988554644619,0.12558444661997825,-0.12679695172646088,-0.04228448762851622
2011-07,-0.09999999999999432,0.11778357876413992,-0.6175586294437032,0.12558444661997825,-0.13734041717061451,-0.00589198960569437
2011-08,-0.09999999999999432,0.11198143429068708,-0.5538183962070704,0.12558444661997825,-0.13734041717061451,0.0044062817760703865
2011-09,-0.09999999999999432,0.10617928633594076,-0.4900781701863153,0.070461815215765,-0.13734041717061451,-0.06721500395435509
2011-10,-0.09999999999999432,0.100377138381198,-0.4263379441655566,0.070461815215765,-0.14506745812068766,-0.15155349678002494
2011-11,-0.09999999999999432,0.09457499390774515,-0.36259771092892734,0.070461815215765,-0.14506745812068766,-0.2766806010620271
2011-12,-0.09999999999999432,0.08877284595299884,-0.29885748490816866,0.070461815215765,-0.14506745812068766,-0.2596994689865548
2012-01,0.0,0.34232665970408505,0.9458809381288269,0.29685833705450104,0.201289978228663,-0.1301999774036835
2012-02,0.0,0.33130258311575034,0.8917618762576538,0.29685833705450104,0.201289978228663,0.017048921025872854
2012-03,0.0,0.3202785030461257,0.8376428143864771,0.29685833705450104,0.201289978228663,0.1319636199299512
2012-04,0.0,0.3092544229764975,0.783523752515304,0.29685833705450104,0.04443885202053188,0.3070387526833125
2012-05,0.0,0.29823034638815926,0.7294046906441309,0.2515790326867533,0.04443885202053188,0.2037927917749407
